drillhole	from	to	GEOCODE
TEST001	0	3	CAS
TEST001	3	5	I1A
TEST001	5	19	I1A
TEST001	19	22	V3
TEST001	22	23	I1A
TEST001	23	23	V3
TEST001	23	29	I1A
TEST001	29	29	V3
TEST001	29	31	I1A
TEST001	31	31	V3
TEST001	31	32	I1A
TEST001	32	33	V3
TEST001	33	39	I1A
TEST001	39	40	V3
TEST001	40	46	I1A
TEST001	46	55	V3
TEST001	55	61	I1A
TEST001	61	62	I1F
TEST001	62	62	V3
TEST001	62	64	I1F
TEST001	64	69	V3
TEST001	69	92	V3
TEST001	92	96	I1A
TEST001	96	116	I1B
TEST001	116	124	V4A
TEST001	124	125	I2D
TEST001	125	138	V4A
TEST001	138	139	I1F
TEST001	139	142	V4A
TEST001	142	143	I1A
TEST001	143	144	V4A
TEST001	144	146	I1A
TEST001	146	193	V4A
TEST001	193	200	I1A
TEST001	200	204	V4A
TEST001	204	206	I1A
TEST001	206	216	V3
TEST001	216	220	V4A
TEST001	220	262	V3
TEST001	262	275	V3
TEST001	275	285	I1A
TEST001	285	333	V4A
TEST002	0	2	CAS
TEST002	2	12	I1B
TEST003	0	3	CAS
TEST003	3	31	I1A
TEST003	31	31	V3
TEST003	31	33	I1A
TEST003	33	34	V4A
TEST003	34	40	I1A
TEST003	40	40	V3
TEST003	40	43	I1A
TEST003	43	47	I3C
TEST003	47	50	I1A
TEST003	50	59	V4A
TEST003	59	73	I3C
TEST003	73	91	I1A
TEST003	91	96	I3C
TEST003	96	104	I1B
TEST003	104	121	V3
TEST003	121	121	I1A
TEST003	121	122	V3
TEST003	122	124	I1F
TEST003	124	125	V3
TEST003	125	131	I1A
TEST003	131	133	V3
TEST003	133	137	I1B
TEST003	137	166	V4A
TEST003	166	174	V3
TEST003	174	194	V4A
TEST003	194	194	I2D
TEST003	194	203	V4A
TEST003	203	204	I1A
TEST003	204	204	V4A
TEST003	204	204	I1A
TEST003	204	207	V4A
TEST003	207	212	I1A
TEST003	212	214	V4A
TEST003	214	228	I1A
TEST003	228	234	I1B
TEST003	234	237	V4A
TEST003	237	252	I1A
TEST003	252	255	V3
TEST003	255	257	I1A
TEST003	257	258	V3
TEST003	258	264	V4A
TEST003	264	265	S5A
TEST003	265	267	V4A
TEST004	0	3	CAS
TEST004	3	4	I1A
TEST004	4	22	I1A
TEST004	22	22	V3
TEST004	22	23	I1A
TEST004	23	23	V3
TEST004	23	28	I1A
TEST004	28	32	I1F
TEST004	32	37	I1A
TEST004	37	38	V3
TEST004	38	42	I1A
TEST004	42	42	V3
TEST004	42	56	I1A
TEST004	56	65	V3
TEST004	65	66	I1A
TEST004	66	68	V3
TEST004	68	75	I1A
TEST004	75	78	V4A
TEST004	78	86	V3
TEST004	86	89	I1A
TEST004	89	93	V3
TEST004	93	96	I1A
TEST004	96	97	V3
TEST004	97	101	I1A
TEST004	101	101	V3
TEST004	101	102	I1A
TEST004	102	102	V3
TEST004	102	104	I1A
TEST004	104	105	V3
TEST004	105	108	I1A
TEST004	108	109	V3
TEST004	109	112	I1A
TEST004	112	113	V3
TEST004	113	120	I1A
TEST004	120	121	V3
TEST004	121	124	I1A
